name,address,rating,latitude,longitude,close,open,district,store_chain
Violet Pham,"197 Đ. Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",4.3,21.0364225,105.7843016,8 PM,8 AM,Cầu Giấy,Other
OVmart - Lê Trọng Tấn,"220 P. Lê Trọng Tấn, Định Công, Thanh Xuân, Hà Nội",4.4,20.9918395,105.832637,10 PM,8 AM,Thanh Xuân,Other
Mẹ và Bé,"121 P. Chùa Quỳnh, Bạch Mai, Hai Bà Trưng, Hà Nội",5.0,20.9995508,105.8536091,11:59 PM,0:00 AM,Hai Bà Trưng,Mẹ và Bé
Baby Kid,"214 P. Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân, Hà Nội",3.0,20.9969337,105.8268579,9:30 PM,8 AM,Thanh Xuân,Other
Nana's House - Siêu thị Mẹ và Bé,"117K1 P. Giảng Võ, Chợ Dừa, Đống Đa, Hà Nội , Việt Nam",3.9,21.0268776,105.8240057,9:30 PM,8 AM,Đống Đa,Mẹ và Bé
Bobbymart,"Sun City, P. Hai Bà Trưng, Phan Chu Trinh, Hoàn Kiếm, Hà Nội",3.9,21.020179,105.854487,9:30 PM,8 AM,Hoàn Kiếm,Other
ShinKids,"Ngõ 1008 Đ. Láng, Yên Hoà, Đống Đa, Hà Nội",5.0,21.0232016,105.7996655,10 PM,8 AM,Đống Đa,Other
KidsPlaza 47 Cổ Nhuế,"47 Đ. Cổ Nhuế, Cổ Nhuế, Hà Nội,",4.0,21.0598968,105.7823021,10 PM,8 AM,Bắc Từ Liêm,KidsPlaza
Siêu Thị Mẹ Bầu & Em Bé Con Cưng,"933 Đ. La Thành, Láng Thượng, Ba Đình, Hà Nội",1.0,21.0269875,105.8095799,9:30 PM,7:30 AM,Ba Đình,Other
Shop Mẹ Míp,"89b Dốc viện Phụ Sản, Láng Thượng, Ba Đình, Hà Nội",4.9,21.0267731,105.8089651,10 PM,8 AM,Ba Đình,Other
siêu thị mẹ và bé,"Số nhà, 3 P. Phú Thượng, Phú Thượng, Tây Hồ, Hà Nội, Việt Nam",4.9,21.0880965,105.8114054,7 PM,7 AM,Tây Hồ,Mẹ và Bé
Shop Mẹ Và Bé,"148 P. Lò Đúc, P, Hai Bà Trưng, Hà Nội",4.0,21.0124106,105.8584255,9:30 PM,8 AM,Hai Bà Trưng,Mẹ và Bé
